     # analyt         jacobi          gauss            sor
       -0.00674    -0.00676955    -0.00676528    -0.00676117
      -0.006795    -0.00682145    -0.00681714    -0.00681303
      -0.006838    -0.00686474    -0.00686041    -0.00685633
      -0.006876    -0.00690084    -0.00689651    -0.00689246
      -0.006909    -0.00693091    -0.00692659    -0.00692259
      -0.006934    -0.00695591    -0.00695162    -0.00694768
      -0.006955    -0.00697666    -0.00697241    -0.00696854
      -0.006975    -0.00699381    -0.00698961    -0.00698583
       -0.00699    -0.00700791    -0.00700377    -0.00700009
      -0.007001     -0.0070194    -0.00701533    -0.00701176
      -0.007012    -0.00702864    -0.00702467    -0.00702122
      -0.007021    -0.00703594    -0.00703206    -0.00702874
      -0.007025    -0.00704153    -0.00703775    -0.00703456
       -0.00703    -0.00704557     -0.0070419    -0.00703886
      -0.007034    -0.00704819    -0.00704465    -0.00704175
      -0.007034    -0.00704948    -0.00704607    -0.00704333
      -0.007034    -0.00704948     -0.0070462    -0.00704363
      -0.007034    -0.00704819    -0.00704506    -0.00704265
       -0.00703    -0.00704557    -0.00704258    -0.00704035
      -0.007025    -0.00704153     -0.0070387    -0.00703665
      -0.007021    -0.00703594    -0.00703327    -0.00703141
      -0.007012    -0.00702864    -0.00702614    -0.00702446
      -0.007001     -0.0070194    -0.00701706    -0.00701556
       -0.00699    -0.00700791    -0.00700574    -0.00700443
      -0.006975    -0.00699381    -0.00699182    -0.00699069
      -0.006955    -0.00697666    -0.00697484     -0.0069739
      -0.006934    -0.00695591    -0.00695427    -0.00695351
      -0.006909    -0.00693091    -0.00692944    -0.00692886
      -0.006876    -0.00690084    -0.00689955    -0.00689914
      -0.006838    -0.00686474    -0.00686362    -0.00686337
      -0.006795    -0.00682145    -0.00682049     -0.0068204
       -0.00674    -0.00676955    -0.00676876    -0.00676881
      -0.006674    -0.00670735    -0.00670671    -0.00670691
